organisatie;org_afk;soort;onderwerp;datum;jaar_mndnr;maand_nr;jaar_wknr;week_nr;aantal
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-01-15;2018;1;2018;3;133
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-01-15;2018;1;2018;3;467
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-01-15;2018;1;2018;3;189
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-01-15;2018;1;2018;3;38
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-01-16;2018;1;2018;3;57
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-01-16;2018;1;2018;3;5
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-01-16;2018;1;2018;3;273
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-01-16;2018;1;2018;3;2
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-01-16;2018;1;2018;3;19
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-01-16;2018;1;2018;3;46
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-01-16;2018;1;2018;3;38
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-01-16;2018;1;2018;3;57
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-01-16;2018;1;2018;3;260
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-01-16;2018;1;2018;3;109
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-01-16;2018;1;2018;3;14
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-01-17;2018;1;2018;3;29
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-01-17;2018;1;2018;3;2
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-01-17;2018;1;2018;3;174
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-01-17;2018;1;2018;3;2
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-01-17;2018;1;2018;3;12
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-01-17;2018;1;2018;3;26
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-01-17;2018;1;2018;3;19
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-01-17;2018;1;2018;3;57
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-01-17;2018;1;2018;3;173
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-01-17;2018;1;2018;3;52
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-01-17;2018;1;2018;3;21
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-01-18;2018;1;2018;3;45
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-01-18;2018;1;2018;3;1
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-01-18;2018;1;2018;3;273
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-01-18;2018;1;2018;3;3
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-01-18;2018;1;2018;3;16
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-01-18;2018;1;2018;3;30
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-01-18;2018;1;2018;3;33
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-01-18;2018;1;2018;3;72
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-01-18;2018;1;2018;3;224
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-01-18;2018;1;2018;3;94
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-01-18;2018;1;2018;3;13
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-01-19;2018;1;2018;3;22
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-01-19;2018;1;2018;3;1
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-01-19;2018;1;2018;3;119
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-01-19;2018;1;2018;3;1
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-01-19;2018;1;2018;3;8
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-01-19;2018;1;2018;3;9
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-01-19;2018;1;2018;3;10
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-01-19;2018;1;2018;3;34
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-01-19;2018;1;2018;3;87
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-01-19;2018;1;2018;3;34
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-01-19;2018;1;2018;3;15
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-01-20;2018;1;2018;3;0
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-01-20;2018;1;2018;3;0
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-01-20;2018;1;2018;3;20
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-01-20;2018;1;2018;3;0
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-01-20;2018;1;2018;3;0
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-01-20;2018;1;2018;3;0
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-01-20;2018;1;2018;3;0
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-01-20;2018;1;2018;3;0
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-01-20;2018;1;2018;3;2
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-01-20;2018;1;2018;3;1
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-01-20;2018;1;2018;3;0
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-01-21;2018;1;2018;3;1
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-01-21;2018;1;2018;3;0
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-01-21;2018;1;2018;3;19
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-01-21;2018;1;2018;3;0
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-01-21;2018;1;2018;3;0
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-01-21;2018;1;2018;3;0
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-01-21;2018;1;2018;3;3
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-01-21;2018;1;2018;3;0
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-01-21;2018;1;2018;3;4
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-01-21;2018;1;2018;3;4
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-01-21;2018;1;2018;3;0
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-01-22;2018;1;2018;4;117
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-01-22;2018;1;2018;4;4
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-01-22;2018;1;2018;4;554
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-01-22;2018;1;2018;4;9
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-01-22;2018;1;2018;4;37
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-01-22;2018;1;2018;4;71
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-01-22;2018;1;2018;4;68
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-01-22;2018;1;2018;4;155
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-01-22;2018;1;2018;4;524
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-01-22;2018;1;2018;4;195
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-01-22;2018;1;2018;4;40
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-01-23;2018;1;2018;4;65
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-01-23;2018;1;2018;4;4
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-01-23;2018;1;2018;4;293
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-01-23;2018;1;2018;4;3
